,Unnamed: 0,Shoename,Category,Colour,Shoe_Price,CountOfSizes,Color1,Color2,Color3,Color4,Color5,Style_codeProduct_code,Reviews,Size,Comfort,Durability_quality_performance,Star_rating
0,0,Women’s Minx™ Shorty III Boot,Women’s Minx™ Shorty III Boot,2,4567.2,12,"Oxford Tan, Fawn","Light Sand, Marionberry",,,,1803151,1663 Reviews,5/5.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"Warm, waterproof, and stylish.",4.5
1,1,Women's Firecamp™ Boot,Women's Firecamp™ Boot,2,6847.4784,12,"Black, Plum Purple","Graphite, Faded Sky",,,,1800311,536 Reviews,5.5/6/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Not Comfortable,Insulated and waterproof.,4.5
2,2,Men’s Fairbanks™ Omni-Heat™ Boot,Men’s Fairbanks™ Omni-Heat™ Boot,2,5978.88,14,"Nori, Persimmon","Ti Grey Steel, Grey Ice",,,,1803121,1443 Reviews,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,Effortlessly warm.,4.5
3,3,Women’s Minx™ Mid III Boot,Women’s Minx™ Mid III Boot,3,3736.8,10,"Elk, Rusty","Graphite, Dark Moss","Black, Cordovan",,,1746011,1424 Reviews,7.5/8/8.5/10.5/11/11.5/12/13/14/15,Very Comfortable,"Take on mud, slush, and rain in this waterproof-breathable boot featuring toasty thermal-reflective lining, a comfortable cushioned midsole, and an advanced traction outsole for uneven terrain.",4.4
4,4,Men's Bugaboot™ III Boot,Men's Bugaboot™ III Boot,1,4982.4,15,"Black, Bright Red",,,,,1791221,791 Reviews,7/7.5/8/8.5/9/9.5/10/10.5/11/11.5/12/13/14/15/16,Very Comfortable,"Warm, waterproof, and protective, this legacy boot is built for winter. Lightweight insulation, midsole cushioning, and an advanced traction outsole carry you through rain and slush with ease.",4.5
5,5,Women's Moritza Shield™ Omni-Heat™ Boot,Women's Moritza Shield™ Omni-Heat™ Boot,4,4484.16,14,"Fawn, Canvas Tan","Elk, River Blue","Sedona Sage, Beetroot","Black, Graphite",,2053391,44 Reviews,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"A durable, go-anywhere boot that takes on rain and slush with ease. Thermal-reflective lining retains heat, while waterproof-breathable tech and a grippy outsole prepare you for any terrain.",4.6
6,6,Women’s Newton Ridge™ Plus Waterproof Amped Hiking Boot,Women’s Newton Ridge™ Plus Waterproof Amped Hiking Boot,3,8719.2,11,"Ti Grey Steel, Graphite","Black, City Grey","Collegiate Navy, Bright Copper",,,1672881,952 Reviews,8/9/9.5/10/10.5/11/11.5/12/13/14/15,Very Comfortable,"Kick some trail in this waterproof-breathable insulated boot that’s ready for winter adventure. With responsive midsole cushioning and a grippy outsole, you’ll be sure-footed on any terrain.",4.5
7,7,Men's Firecamp™ Boot,Men's Firecamp™ Boot,1,6847.4784,13,"Timber, Cinder",,,,,1718821,3062 Reviews,5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"With classic mountaineering style, this iconic hiker features waterproof-breathable seam-sealed construction, a light midsole for lasting comfort, and an all-terrain outsole. No wonder it’s a best seller.",4.7
8,8,Men's Gunnison™ II Omni-Heat™ Boot,Men's Gunnison™ II Omni-Heat™ Boot,1,6228,11,"Elk, Rusty",,,,,1746012,1424 Reviews,7/7.5/8/8.5/9.5/10/10.5/11.5/12/13/14,Very Comfortable,"Take on mud, slush, and rain in this waterproof-breathable boot featuring toasty thermal-reflective lining, a comfortable cushioned midsole, and an advanced traction outsole for uneven terrain.",4.4
9,9,Men’s Newton Ridge™ Plus II Waterproof Hiking Boot,Men’s Newton Ridge™ Plus II Waterproof Hiking Boot,2,6228,11,"Elk, Black","Graphite, Black",,,,1594731,1451 Reviews,7/8/8.5/9/9.5/11.5/12/13/14/16/17,Very Comfortable,"With classic mountaineering style, this iconic hiker features waterproof-breathable seam-sealed construction, a light midsole for lasting comfort, and an all-terrain outsole. No wonder it’s a best seller.",4.5
10,10,Women’s Ice Maiden™ II Boot,Women’s Ice Maiden™ II Boot,2,6224.6784,14,"Elk, Black","Cordovan, Siberia",,,,1554171,2158 Reviews,5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,Very Comfortable,"A sure-footed, waterproof-breathable lace-up winter boot with cozy insulation, a cushioned insole for long-lasting comfort, and a luxe look. Take on the elements in style.",4.6
